"id","question","sparql","answer_uri","answer_label","frame"
"562","Quale persona era la figlia di Gustavo VI Adolfo di Svezia?","select  ?o    {    <http://dbpedia.org/resource/Gustaf_VI_Adolf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Prince_Bertil,_Duke_of_Halland","Bertil di Svezia","NPP"
"563","Quale persona è la figlia di Gustavo VI Adolfo di Svezia?","select  ?o    {    <http://dbpedia.org/resource/Gustaf_VI_Adolf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Prince_Bertil,_Duke_of_Halland","Bertil di Svezia","NPP"
"564","la figlia di Gustavo VI Adolfo di Svezia","select  ?o    {    <http://dbpedia.org/resource/Gustaf_VI_Adolf> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Prince_Bertil,_Duke_of_Halland","Bertil di Svezia","NPP"
"565","Chi era la figlia di Halime Sultan?","select  ?o    {    <http://dbpedia.org/resource/Halime_Sultan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mustafa_I","Mustafa I","NPP"
"566","Chi è la figlia di Halime Sultan?","select  ?o    {    <http://dbpedia.org/resource/Halime_Sultan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mustafa_I","Mustafa I","NPP"
"567","Quale persona era la figlia di Halime Sultan?","select  ?o    {    <http://dbpedia.org/resource/Halime_Sultan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mustafa_I","Mustafa I","NPP"
"568","Quale persona è la figlia di Halime Sultan?","select  ?o    {    <http://dbpedia.org/resource/Halime_Sultan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mustafa_I","Mustafa I","NPP"
"569","la figlia di Halime Sultan","select  ?o    {    <http://dbpedia.org/resource/Halime_Sultan> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Mustafa_I","Mustafa I","NPP"
"570","Chi era la figlia di Hamad bin Khalifa Al Thani?","select  ?o    {    <http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani","Hamad bin Khalifa Al Thani","NPP"
"571","Chi è la figlia di Hamad bin Khalifa Al Thani?","select  ?o    {    <http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani","Hamad bin Khalifa Al Thani","NPP"
"572","Quale persona era la figlia di Hamad bin Khalifa Al Thani?","select  ?o    {    <http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani","Hamad bin Khalifa Al Thani","NPP"
"573","Quale persona è la figlia di Hamad bin Khalifa Al Thani?","select  ?o    {    <http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani","Hamad bin Khalifa Al Thani","NPP"
"574","la figlia di Hamad bin Khalifa Al Thani","select  ?o    {    <http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Hamad_bin_Khalifa_Al_Thani","Hamad bin Khalifa Al Thani","NPP"
"575","Chi era la figlia di Hārūn al-Rashīd?","select  ?o    {    <http://dbpedia.org/resource/Harun_al-Rashid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Amin","Al-Amin","NPP"
"576","Chi è la figlia di Hārūn al-Rashīd?","select  ?o    {    <http://dbpedia.org/resource/Harun_al-Rashid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Amin","Al-Amin","NPP"
"577","Quale persona era la figlia di Hārūn al-Rashīd?","select  ?o    {    <http://dbpedia.org/resource/Harun_al-Rashid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Amin","Al-Amin","NPP"
"578","Quale persona è la figlia di Hārūn al-Rashīd?","select  ?o    {    <http://dbpedia.org/resource/Harun_al-Rashid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Amin","Al-Amin","NPP"
"579","la figlia di Hārūn al-Rashīd","select  ?o    {    <http://dbpedia.org/resource/Harun_al-Rashid> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Al-Amin","Al-Amin","NPP"
"580","Chi era la figlia di Heydər Əliyev?","select  ?o    {    <http://dbpedia.org/resource/Heydar_Aliyev> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ilham_Aliyev","İlham Əliyev","NPP"
"581","Chi è la figlia di Heydər Əliyev?","select  ?o    {    <http://dbpedia.org/resource/Heydar_Aliyev> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ilham_Aliyev","İlham Əliyev","NPP"
"582","Quale persona era la figlia di Heydər Əliyev?","select  ?o    {    <http://dbpedia.org/resource/Heydar_Aliyev> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ilham_Aliyev","İlham Əliyev","NPP"
"583","Quale persona è la figlia di Heydər Əliyev?","select  ?o    {    <http://dbpedia.org/resource/Heydar_Aliyev> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ilham_Aliyev","İlham Əliyev","NPP"
"584","la figlia di Heydər Əliyev","select  ?o    {    <http://dbpedia.org/resource/Heydar_Aliyev> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ilham_Aliyev","İlham Əliyev","NPP"
"585","Chi era la figlia di Horatio Walpole II conte di Orford?","select  ?o    {    <http://dbpedia.org/resource/Horatio_Walpole,_2nd_Earl_of_Orford> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Horatio_Walpole,_3rd_Earl_of_Orford","Horatio Walpole, III conte di Orford","NPP"
"586","Chi è la figlia di Horatio Walpole II conte di Orford?","select  ?o    {    <http://dbpedia.org/resource/Horatio_Walpole,_2nd_Earl_of_Orford> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Horatio_Walpole,_3rd_Earl_of_Orford","Horatio Walpole, III conte di Orford","NPP"
"587","Quale persona era la figlia di Horatio Walpole II conte di Orford?","select  ?o    {    <http://dbpedia.org/resource/Horatio_Walpole,_2nd_Earl_of_Orford> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Horatio_Walpole,_3rd_Earl_of_Orford","Horatio Walpole, III conte di Orford","NPP"
"588","Quale persona è la figlia di Horatio Walpole II conte di Orford?","select  ?o    {    <http://dbpedia.org/resource/Horatio_Walpole,_2nd_Earl_of_Orford> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Horatio_Walpole,_3rd_Earl_of_Orford","Horatio Walpole, III conte di Orford","NPP"
"589","la figlia di Horatio Walpole II conte di Orford","select  ?o    {    <http://dbpedia.org/resource/Horatio_Walpole,_2nd_Earl_of_Orford> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Horatio_Walpole,_3rd_Earl_of_Orford","Horatio Walpole, III conte di Orford","NPP"
"590","Chi era la figlia di Abu l-'Ala Idris al-Ma'mun?","select  ?o    {    <http://dbpedia.org/resource/Idris_al-Ma'mun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Abu_al-Hasan_as-Said_al-Mutadid","Abu al-Hasan al-Sa'id al-Mu'tadid","NPP"
"591","Chi è la figlia di Abu l-'Ala Idris al-Ma'mun?","select  ?o    {    <http://dbpedia.org/resource/Idris_al-Ma'mun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Abu_al-Hasan_as-Said_al-Mutadid","Abu al-Hasan al-Sa'id al-Mu'tadid","NPP"
"592","Quale persona era la figlia di Abu l-'Ala Idris al-Ma'mun?","select  ?o    {    <http://dbpedia.org/resource/Idris_al-Ma'mun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Abu_al-Hasan_as-Said_al-Mutadid","Abu al-Hasan al-Sa'id al-Mu'tadid","NPP"
"593","Quale persona è la figlia di Abu l-'Ala Idris al-Ma'mun?","select  ?o    {    <http://dbpedia.org/resource/Idris_al-Ma'mun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Abu_al-Hasan_as-Said_al-Mutadid","Abu al-Hasan al-Sa'id al-Mu'tadid","NPP"
"594","la figlia di Abu l-'Ala Idris al-Ma'mun","select  ?o    {    <http://dbpedia.org/resource/Idris_al-Ma'mun> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Abu_al-Hasan_as-Said_al-Mutadid","Abu al-Hasan al-Sa'id al-Mu'tadid","NPP"
"595","Chi era la figlia di Luisa Ferdinanda di Borbone-Spagna?","select  ?o    {    <http://dbpedia.org/resource/Infanta_Luisa_Fernanda,_Duchess_of_Montpensier> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Princess_María_Cristina_of_Orléans","Maria Cristina d'Orléans","NPP"
"596","Chi è la figlia di Luisa Ferdinanda di Borbone-Spagna?","select  ?o    {    <http://dbpedia.org/resource/Infanta_Luisa_Fernanda,_Duchess_of_Montpensier> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Princess_María_Cristina_of_Orléans","Maria Cristina d'Orléans","NPP"
"597","Quale persona era la figlia di Luisa Ferdinanda di Borbone-Spagna?","select  ?o    {    <http://dbpedia.org/resource/Infanta_Luisa_Fernanda,_Duchess_of_Montpensier> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Princess_María_Cristina_of_Orléans","Maria Cristina d'Orléans","NPP"
"598","Quale persona è la figlia di Luisa Ferdinanda di Borbone-Spagna?","select  ?o    {    <http://dbpedia.org/resource/Infanta_Luisa_Fernanda,_Duchess_of_Montpensier> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Princess_María_Cristina_of_Orléans","Maria Cristina d'Orléans","NPP"
"599","la figlia di Luisa Ferdinanda di Borbone-Spagna","select  ?o    {    <http://dbpedia.org/resource/Infanta_Luisa_Fernanda,_Duchess_of_Montpensier> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Princess_María_Cristina_of_Orléans","Maria Cristina d'Orléans","NPP"
"600","Chi era la figlia di Ingjald?","select  ?o    {    <http://dbpedia.org/resource/Ingjald> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Olof_Trätälja","Óláfr Trételgja","NPP"
"601","Chi è la figlia di Ingjald?","select  ?o    {    <http://dbpedia.org/resource/Ingjald> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Olof_Trätälja","Óláfr Trételgja","NPP"
"602","Quale persona era la figlia di Ingjald?","select  ?o    {    <http://dbpedia.org/resource/Ingjald> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Olof_Trätälja","Óláfr Trételgja","NPP"
"603","Quale persona è la figlia di Ingjald?","select  ?o    {    <http://dbpedia.org/resource/Ingjald> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Olof_Trätälja","Óláfr Trételgja","NPP"
"604","la figlia di Ingjald","select  ?o    {    <http://dbpedia.org/resource/Ingjald> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Olof_Trätälja","Óláfr Trételgja","NPP"
"605","Chi era la figlia di Isabella di Navarra 1395-1435?","select  ?o    {    <http://dbpedia.org/resource/Isabella_of_Navarre,_Countess_of_Armagnac> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Marie_of_Armagnac","Maria d'Armagnac","NPP"
"606","Chi è la figlia di Isabella di Navarra 1395-1435?","select  ?o    {    <http://dbpedia.org/resource/Isabella_of_Navarre,_Countess_of_Armagnac> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Marie_of_Armagnac","Maria d'Armagnac","NPP"
"607","Quale persona era la figlia di Isabella di Navarra 1395-1435?","select  ?o    {    <http://dbpedia.org/resource/Isabella_of_Navarre,_Countess_of_Armagnac> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Marie_of_Armagnac","Maria d'Armagnac","NPP"
"608","Quale persona è la figlia di Isabella di Navarra 1395-1435?","select  ?o    {    <http://dbpedia.org/resource/Isabella_of_Navarre,_Countess_of_Armagnac> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Marie_of_Armagnac","Maria d'Armagnac","NPP"
"609","la figlia di Isabella di Navarra (1395-1435)","select  ?o    {    <http://dbpedia.org/resource/Isabella_of_Navarre,_Countess_of_Armagnac> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Marie_of_Armagnac","Maria d'Armagnac","NPP"
"610","Chi era la figlia di Jacqueline de Longwy?","select  ?o    {    <http://dbpedia.org/resource/Jacqueline_de_Longwy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/François,_Duke_of_Montpensier","Francesco di Montpensier","NPP"
"611","Chi è la figlia di Jacqueline de Longwy?","select  ?o    {    <http://dbpedia.org/resource/Jacqueline_de_Longwy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/François,_Duke_of_Montpensier","Francesco di Montpensier","NPP"
"612","Quale persona era la figlia di Jacqueline de Longwy?","select  ?o    {    <http://dbpedia.org/resource/Jacqueline_de_Longwy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/François,_Duke_of_Montpensier","Francesco di Montpensier","NPP"
"613","Quale persona è la figlia di Jacqueline de Longwy?","select  ?o    {    <http://dbpedia.org/resource/Jacqueline_de_Longwy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/François,_Duke_of_Montpensier","Francesco di Montpensier","NPP"
"614","la figlia di Jacqueline de Longwy","select  ?o    {    <http://dbpedia.org/resource/Jacqueline_de_Longwy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/François,_Duke_of_Montpensier","Francesco di Montpensier","NPP"
"615","Chi era la figlia di Javed Akhtar?","select  ?o    {    <http://dbpedia.org/resource/Javed_Akhtar> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar","NPP"
"616","Chi è la figlia di Javed Akhtar?","select  ?o    {    <http://dbpedia.org/resource/Javed_Akhtar> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar","NPP"
"617","Quale persona era la figlia di Javed Akhtar?","select  ?o    {    <http://dbpedia.org/resource/Javed_Akhtar> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar","NPP"
"618","Quale persona è la figlia di Javed Akhtar?","select  ?o    {    <http://dbpedia.org/resource/Javed_Akhtar> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar","NPP"
"619","la figlia di Javed Akhtar","select  ?o    {    <http://dbpedia.org/resource/Javed_Akhtar> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Zoya_Akhtar","Zoya Akhtar","NPP"
"620","Chi era la figlia di Gioacchino Ernesto di Anhalt 1536-1586?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Ernest,_Prince_of_Anhalt> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Louis_I,_Prince_of_Anhalt-Köthen","Luigi I di Anhalt-Köthen","NPP"
"621","Chi è la figlia di Gioacchino Ernesto di Anhalt 1536-1586?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Ernest,_Prince_of_Anhalt> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Louis_I,_Prince_of_Anhalt-Köthen","Luigi I di Anhalt-Köthen","NPP"
"622","Quale persona era la figlia di Gioacchino Ernesto di Anhalt 1536-1586?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Ernest,_Prince_of_Anhalt> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Louis_I,_Prince_of_Anhalt-Köthen","Luigi I di Anhalt-Köthen","NPP"
"623","Quale persona è la figlia di Gioacchino Ernesto di Anhalt 1536-1586?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Ernest,_Prince_of_Anhalt> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Louis_I,_Prince_of_Anhalt-Köthen","Luigi I di Anhalt-Köthen","NPP"
"624","la figlia di Gioacchino Ernesto di Anhalt (1536-1586)","select  ?o    {    <http://dbpedia.org/resource/Joachim_Ernest,_Prince_of_Anhalt> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Louis_I,_Prince_of_Anhalt-Köthen","Luigi I di Anhalt-Köthen","NPP"
"625","Chi era la figlia di Gioacchino Federico di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Frederick,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Anne_Catherine_of_Brandenburg","Anna Caterina del Brandeburgo","NPP"
"626","Chi è la figlia di Gioacchino Federico di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Frederick,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Anne_Catherine_of_Brandenburg","Anna Caterina del Brandeburgo","NPP"
"627","Quale persona era la figlia di Gioacchino Federico di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Frederick,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Anne_Catherine_of_Brandenburg","Anna Caterina del Brandeburgo","NPP"
"628","Quale persona è la figlia di Gioacchino Federico di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_Frederick,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Anne_Catherine_of_Brandenburg","Anna Caterina del Brandeburgo","NPP"
"629","la figlia di Gioacchino Federico di Brandeburgo","select  ?o    {    <http://dbpedia.org/resource/Joachim_Frederick,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Anne_Catherine_of_Brandenburg","Anna Caterina del Brandeburgo","NPP"
"630","Chi era la figlia di Gioacchino II di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_II_Hector,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Barbara_of_Brandenburg,_Duchess_of_Brieg","Barbara di Brandeburgo (1527-1595)","NPP"
"631","Chi è la figlia di Gioacchino II di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_II_Hector,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Barbara_of_Brandenburg,_Duchess_of_Brieg","Barbara di Brandeburgo (1527-1595)","NPP"
"632","Quale persona era la figlia di Gioacchino II di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_II_Hector,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Barbara_of_Brandenburg,_Duchess_of_Brieg","Barbara di Brandeburgo (1527-1595)","NPP"
"633","Quale persona è la figlia di Gioacchino II di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_II_Hector,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Barbara_of_Brandenburg,_Duchess_of_Brieg","Barbara di Brandeburgo (1527-1595)","NPP"
"634","la figlia di Gioacchino II di Brandeburgo","select  ?o    {    <http://dbpedia.org/resource/Joachim_II_Hector,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Barbara_of_Brandenburg,_Duchess_of_Brieg","Barbara di Brandeburgo (1527-1595)","NPP"
"635","Chi era la figlia di Gioacchino I di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_I_Nestor,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/John,_Margrave_of_Brandenburg-Küstrin","Giovanni di Brandeburgo-Küstrin","NPP"
"636","Chi è la figlia di Gioacchino I di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_I_Nestor,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/John,_Margrave_of_Brandenburg-Küstrin","Giovanni di Brandeburgo-Küstrin","NPP"
"637","Quale persona era la figlia di Gioacchino I di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_I_Nestor,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/John,_Margrave_of_Brandenburg-Küstrin","Giovanni di Brandeburgo-Küstrin","NPP"
"638","Quale persona è la figlia di Gioacchino I di Brandeburgo?","select  ?o    {    <http://dbpedia.org/resource/Joachim_I_Nestor,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/John,_Margrave_of_Brandenburg-Küstrin","Giovanni di Brandeburgo-Küstrin","NPP"
"639","la figlia di Gioacchino I di Brandeburgo","select  ?o    {    <http://dbpedia.org/resource/Joachim_I_Nestor,_Elector_of_Brandenburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/John,_Margrave_of_Brandenburg-Küstrin","Giovanni di Brandeburgo-Küstrin","NPP"
"640","Chi era la figlia di Joan Brady?","select  ?o    {    <http://dbpedia.org/resource/Joan_Brady_(American-British_writer)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alexander_Masters","Alexander Masters","NPP"
"641","Chi è la figlia di Joan Brady?","select  ?o    {    <http://dbpedia.org/resource/Joan_Brady_(American-British_writer)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alexander_Masters","Alexander Masters","NPP"
"642","Quale persona era la figlia di Joan Brady?","select  ?o    {    <http://dbpedia.org/resource/Joan_Brady_(American-British_writer)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alexander_Masters","Alexander Masters","NPP"
"643","Quale persona è la figlia di Joan Brady?","select  ?o    {    <http://dbpedia.org/resource/Joan_Brady_(American-British_writer)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alexander_Masters","Alexander Masters","NPP"
"644","la figlia di Joan Brady","select  ?o    {    <http://dbpedia.org/resource/Joan_Brady_(American-British_writer)> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alexander_Masters","Alexander Masters","NPP"
"645","Chi era la figlia di Giovanna I d'Alvernia?","select  ?o    {    <http://dbpedia.org/resource/Joan_I,_Countess_of_Auvergne> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_I,_Duke_of_Burgundy","Filippo I di Borgogna","NPP"
"646","Chi è la figlia di Giovanna I d'Alvernia?","select  ?o    {    <http://dbpedia.org/resource/Joan_I,_Countess_of_Auvergne> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_I,_Duke_of_Burgundy","Filippo I di Borgogna","NPP"
"647","Quale persona era la figlia di Giovanna I d'Alvernia?","select  ?o    {    <http://dbpedia.org/resource/Joan_I,_Countess_of_Auvergne> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_I,_Duke_of_Burgundy","Filippo I di Borgogna","NPP"
"648","Quale persona è la figlia di Giovanna I d'Alvernia?","select  ?o    {    <http://dbpedia.org/resource/Joan_I,_Countess_of_Auvergne> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_I,_Duke_of_Burgundy","Filippo I di Borgogna","NPP"
"649","la figlia di Giovanna I d'Alvernia","select  ?o    {    <http://dbpedia.org/resource/Joan_I,_Countess_of_Auvergne> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_I,_Duke_of_Burgundy","Filippo I di Borgogna","NPP"
"650","Chi era la figlia di Giovanna II di Borgogna?","select  ?o    {    <http://dbpedia.org/resource/Joan_II,_Countess_of_Burgundy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_III,_Countess_of_Burgundy","Giovanna III di Borgogna","NPP"
"651","Chi è la figlia di Giovanna II di Borgogna?","select  ?o    {    <http://dbpedia.org/resource/Joan_II,_Countess_of_Burgundy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_III,_Countess_of_Burgundy","Giovanna III di Borgogna","NPP"
"652","Quale persona era la figlia di Giovanna II di Borgogna?","select  ?o    {    <http://dbpedia.org/resource/Joan_II,_Countess_of_Burgundy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_III,_Countess_of_Burgundy","Giovanna III di Borgogna","NPP"
"653","Quale persona è la figlia di Giovanna II di Borgogna?","select  ?o    {    <http://dbpedia.org/resource/Joan_II,_Countess_of_Burgundy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_III,_Countess_of_Burgundy","Giovanna III di Borgogna","NPP"
"654","la figlia di Giovanna II di Borgogna","select  ?o    {    <http://dbpedia.org/resource/Joan_II,_Countess_of_Burgundy> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Joan_III,_Countess_of_Burgundy","Giovanna III di Borgogna","NPP"
"655","Chi era la figlia di Giovanna II di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_II_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Blanche_of_Navarre,_Queen_of_France","Bianca di Navarra (1333-1398)","NPP"
"656","Chi è la figlia di Giovanna II di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_II_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Blanche_of_Navarre,_Queen_of_France","Bianca di Navarra (1333-1398)","NPP"
"657","Quale persona era la figlia di Giovanna II di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_II_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Blanche_of_Navarre,_Queen_of_France","Bianca di Navarra (1333-1398)","NPP"
"658","Quale persona è la figlia di Giovanna II di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_II_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Blanche_of_Navarre,_Queen_of_France","Bianca di Navarra (1333-1398)","NPP"
"659","la figlia di Giovanna II di Navarra","select  ?o    {    <http://dbpedia.org/resource/Joan_II_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Blanche_of_Navarre,_Queen_of_France","Bianca di Navarra (1333-1398)","NPP"
"660","Chi era la figlia di Giovanna I di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_I_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_V_of_France","Filippo V di Francia","NPP"
"661","Chi è la figlia di Giovanna I di Navarra?","select  ?o    {    <http://dbpedia.org/resource/Joan_I_of_Navarre> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Philip_V_of_France","Filippo V di Francia","NPP"
