id,question,sparql,answer,answer,frame
192655,il compositore di The Quicksands,select  ?o    {    <http://dbpedia.org/resource/The_Quicksands> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192656,il compositore di Street Fighter - La leggenda,select  ?o    {    <http://dbpedia.org/resource/Street_Fighter:_The_Legend_of_Chun-Li> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192657,il compositore di La ribellione di Kitty Belle,select  ?o    {    <http://dbpedia.org/resource/The_Rebellion_of_Kitty_Belle> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192658,il compositore di Echi da un regno oscuro,select  ?o    {    <http://dbpedia.org/resource/Echoes_from_a_Sombre_Empire> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192659,il compositore di Enoch Arden (film 1915),select  ?o    {    <http://dbpedia.org/resource/Enoch_Arden_(1915_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192660,il compositore di Il giglio e la rosa,select  ?o    {    <http://dbpedia.org/resource/The_Lily_and_the_Rose> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192661,il compositore di Pathways of Life,select  ?o    {    <http://dbpedia.org/resource/Pathways_of_Life> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192662,il compositore di Daphne e i pirati,select  ?o    {    <http://dbpedia.org/resource/Daphne_and_the_Pirate> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192663,il compositore di Vuoti a rendere,select  ?o    {    <http://dbpedia.org/resource/Empties> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192664,il compositore di The Code (film 2009),select  ?o    {    <http://dbpedia.org/resource/Thick_as_Thieves_(2009_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192665,il compositore di La fanciulla che cerca amore,select  ?o    {    <http://dbpedia.org/resource/The_Greatest_Thing_in_Life> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192666,il compositore di Il romanzo della Valle Felice,select  ?o    {    <http://dbpedia.org/resource/A_Romance_of_Happy_Valley> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192667,il compositore di Amore sulle labbra,select  ?o    {    <http://dbpedia.org/resource/True_Heart_Susie> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192668,il compositore di Il grande problema,select  ?o    {    <http://dbpedia.org/resource/The_Greatest_Question> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192669,il compositore di La suora bianca (film 1923),select  ?o    {    <http://dbpedia.org/resource/The_White_Sister_(1923_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192670,il compositore di Il pianeta del terrore,select  ?o    {    <http://dbpedia.org/resource/Galaxy_of_Terror> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192671,il compositore di Cuori (film),select  ?o    {    <http://dbpedia.org/resource/Private_Fears_in_Public_Places_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192672,il compositore di Passion (film 1982),select  ?o    {    <http://dbpedia.org/resource/Passion_(1982_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192673,il compositore di Ici et ailleurs,select  ?o    {    <http://dbpedia.org/resource/Here_and_Elsewhere> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192674,il compositore di Romola (film 1924),select  ?o    {    <http://dbpedia.org/resource/Romola_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192675,il compositore di Amanti di domani,select  ?o    {    <http://dbpedia.org/resource/When_You're_in_Love_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192676,il compositore di Alla ricerca dell'isola di Nim,select  ?o    {    <http://dbpedia.org/resource/Nim's_Island> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192677,il compositore di Amore sotto coperta,select  ?o    {    <http://dbpedia.org/resource/Romance_on_the_High_Seas> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192678,il compositore di Musica per i tuoi sogni,select  ?o    {    <http://dbpedia.org/resource/My_Dream_Is_Yours> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192679,il compositore di Alle frontiere dell'India,select  ?o    {    <http://dbpedia.org/resource/Wee_Willie_Winkie_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192680,il compositore di La lettera scarlatta (film 1926),select  ?o    {    <http://dbpedia.org/resource/The_Scarlet_Letter_(1926_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192681,il compositore di The Enemy (film 1927),select  ?o    {    <http://dbpedia.org/resource/The_Enemy_(1927_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192682,il compositore di Brothers (film 2009),select  ?o    {    <http://dbpedia.org/resource/Brothers_(2009_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192683,il compositore di Il sogno di Robin,select  ?o    {    <http://dbpedia.org/resource/Flying_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192684,il compositore di Death in Love,select  ?o    {    <http://dbpedia.org/resource/Death_in_Love> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192685,il compositore di Sam's Song,select  ?o    {    <http://dbpedia.org/resource/Sam's_Song> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192686,il compositore di Gioco mortale (film 1966),select  ?o    {    <http://dbpedia.org/resource/Let's_Kill_Uncle> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192687,il compositore di The Maiden Heist - Colpo grosso al museo,select  ?o    {    <http://dbpedia.org/resource/The_Maiden_Heist> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192688,il compositore di Chacun son cinéma - A ciascuno il suo cinema,select  ?o    {    <http://dbpedia.org/resource/To_Each_His_Own_Cinema> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192689,il compositore di Splice,select  ?o    {    <http://dbpedia.org/resource/Splice_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192690,il compositore di So Big!,select  ?o    {    <http://dbpedia.org/resource/So_Big_(1932_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192691,il compositore di Sua Altezza è innamorata,select  ?o    {    <http://dbpedia.org/resource/Princess_O'Rourke> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192692,il compositore di Competition (film 1915),select  ?o    {    <http://dbpedia.org/resource/Competition_(1915_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192693,il compositore di The Day of Reckoning (film 1915),select  ?o    {    <http://dbpedia.org/resource/The_Day_of_Reckoning_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192694,il compositore di Mountain Mary,select  ?o    {    <http://dbpedia.org/resource/Mountain_Mary> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192695,il compositore di Every Sunday,select  ?o    {    <http://dbpedia.org/resource/Every_Sunday> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192696,il compositore di Drawing the Line (film 1915),select  ?o    {    <http://dbpedia.org/resource/Drawing_the_Line_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192697,il compositore di Tra(sgre)dire,select  ?o    {    <http://dbpedia.org/resource/Trasgredire> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192698,il compositore di Perché Bodhi Dharma è partito per l'Oriente?,select  ?o    {    <http://dbpedia.org/resource/Why_Has_Bodhi-Dharma_Left_for_the_East%3F> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192699,il compositore di Ashanti (film),select  ?o    {    <http://dbpedia.org/resource/Ashanti_(1979_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192700,il compositore di Predator (franchise),select  ?o    {    <http://dbpedia.org/resource/Predator_(franchise)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192701,il compositore di Fermata per 12 ore,select  ?o    {    <http://dbpedia.org/resource/The_Wayward_Bus_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192702,il compositore di The Right to Remain Silent,select  ?o    {    <http://dbpedia.org/resource/The_Right_to_Remain_Silent> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192703,il compositore di Il cerchio di fuoco,select  ?o    {    <http://dbpedia.org/resource/Appointment_with_Danger> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192704,il compositore di 15 agosto (film),select  ?o    {    <http://dbpedia.org/resource/15_August_(2001_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192705,il compositore di Perdonami se ho peccato,select  ?o    {    <http://dbpedia.org/resource/Something_to_Live_For_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192706,il compositore di Nu ren si shi,select  ?o    {    <http://dbpedia.org/resource/Summer_Snow_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192707,il compositore di L'ultimo orizzonte,select  ?o    {    <http://dbpedia.org/resource/Gallant_Journey> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192708,il compositore di Every Day's a Holiday,select  ?o    {    <http://dbpedia.org/resource/Every_Day's_a_Holiday_(1937_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192709,il compositore di La Classe de neige (film),select  ?o    {    <http://dbpedia.org/resource/Class_Trip> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192710,il compositore di Cencoroll,select  ?o    {    <http://dbpedia.org/resource/Cencoroll> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192711,il compositore di Ratatouille (film),select  ?o    {    <http://dbpedia.org/resource/Ratatouille_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192712,il compositore di Another Cinderella Story,select  ?o    {    <http://dbpedia.org/resource/Another_Cinderella_Story> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192713,il compositore di The Coverup,select  ?o    {    <http://dbpedia.org/resource/The_Coverup> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192714,il compositore di You Stupid Man,select  ?o    {    <http://dbpedia.org/resource/You_Stupid_Man> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192715,il compositore di Tempeste sotto i mari,select  ?o    {    <http://dbpedia.org/resource/Beneath_the_12-Mile_Reef> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192716,il compositore di Largo Winch (film),select  ?o    {    <http://dbpedia.org/resource/Largo_Winch_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192717,il compositore di Pride of the Range,select  ?o    {    <http://dbpedia.org/resource/Pride_of_the_Range> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192718,il compositore di The Two Brothers (film 1910),select  ?o    {    <http://dbpedia.org/resource/The_Two_Brothers_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192719,il compositore di The New Superintendent,select  ?o    {    <http://dbpedia.org/resource/The_New_Superintendent> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192720,il compositore di His Only Son,select  ?o    {    <http://dbpedia.org/resource/His_Only_Son> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192721,il compositore di Shotgun Jones,select  ?o    {    <http://dbpedia.org/resource/Shotgun_Jones> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192722,il compositore di La messa è finita,select  ?o    {    <http://dbpedia.org/resource/The_Mass_Is_Ended> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192723,il compositore di Il sole sorgerà ancora,select  ?o    {    <http://dbpedia.org/resource/The_Sun_Also_Rises_(1957_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192724,il compositore di The Man from the East (film 1914),select  ?o    {    <http://dbpedia.org/resource/The_Man_from_the_East> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192725,il compositore di Buckshot John,select  ?o    {    <http://dbpedia.org/resource/Buckshot_John> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192726,il compositore di New in Town (film),select  ?o    {    <http://dbpedia.org/resource/New_in_Town> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192727,il compositore di Ci incontreremo ancora,select  ?o    {    <http://dbpedia.org/resource/We'll_Meet_Again_(2002_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192728,il compositore di Nora Roberts - Montana Sky,select  ?o    {    <http://dbpedia.org/resource/Montana_Sky> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192729,il compositore di Suzanna,select  ?o    {    <http://dbpedia.org/resource/Suzanna_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192730,il compositore di Raggedy Rose,select  ?o    {    <http://dbpedia.org/resource/Raggedy_Rose> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192731,il compositore di Viva! Viva Villa!,select  ?o    {    <http://dbpedia.org/resource/Villa_Rides> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192732,il compositore di Il dubbio (film 2008),select  ?o    {    <http://dbpedia.org/resource/Doubt_(2008_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192733,il compositore di The Man from Texas (film 1915),select  ?o    {    <http://dbpedia.org/resource/The_Man_from_Texas> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192734,il compositore di The Ring of Destiny,select  ?o    {    <http://dbpedia.org/resource/The_Ring_of_Destiny> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192735,il compositore di Stingaree (serial cinematografico),select  ?o    {    <http://dbpedia.org/resource/Stingaree_(serial)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192736,il compositore di Il mistero di Oberwald,select  ?o    {    <http://dbpedia.org/resource/The_Mystery_of_Oberwald> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192737,il compositore di Angel - La vita il romanzo,select  ?o    {    <http://dbpedia.org/resource/Angel_(2007_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192738,il compositore di Strategia del ragno,select  ?o    {    <http://dbpedia.org/resource/The_Spider's_Stratagem> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192739,il compositore di The Water Nymph,select  ?o    {    <http://dbpedia.org/resource/The_Water_Nymph> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192740,il compositore di Why He Gave Up,select  ?o    {    <http://dbpedia.org/resource/Why_He_Gave_Up> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192741,il compositore di Mabel's Lovers,select  ?o    {    <http://dbpedia.org/resource/Mabel's_Lovers> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192742,il compositore di Mabel's Adventures,select  ?o    {    <http://dbpedia.org/resource/Mabel's_Adventures> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192743,il compositore di In nome del Papa Re,select  ?o    {    <http://dbpedia.org/resource/In_the_Name_of_the_Pope_King> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192744,il compositore di The Flirting Husband,select  ?o    {    <http://dbpedia.org/resource/The_Flirting_Husband> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192745,il compositore di At Coney Island,select  ?o    {    <http://dbpedia.org/resource/At_Coney_Island> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192746,il compositore di Lochness - Il risveglio del mostro,select  ?o    {    <http://dbpedia.org/resource/Loch_Ness_Terror> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192747,il compositore di Dieci minuti a mezzanotte,select  ?o    {    <http://dbpedia.org/resource/10_to_Midnight> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192748,il compositore di Sin dejar rastros,select  ?o    {    <http://dbpedia.org/resource/Sin_dejar_rastros> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192749,il compositore di Supercuccioli sulla neve,select  ?o    {    <http://dbpedia.org/resource/Snow_Buddies> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192750,il compositore di Per sempre e un giorno ancora,select  ?o    {    <http://dbpedia.org/resource/Forever_and_a_Day_(1943_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192751,il compositore di La corte di re Artù,select  ?o    {    <http://dbpedia.org/resource/A_Connecticut_Yankee_in_King_Arthur's_Court_(1949_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192752,il compositore di I predoni della città,select  ?o    {    <http://dbpedia.org/resource/Abilene_Town> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192753,il compositore di Il pensionante (film 1944),select  ?o    {    <http://dbpedia.org/resource/The_Lodger_(1944_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192754,il compositore di Lake Placid 2 - Il terrore continua,select  ?o    {    <http://dbpedia.org/resource/Lake_Placid_2> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192755,il compositore di Jag-eob-ui jeongseok,select  ?o    {    <http://dbpedia.org/resource/The_Art_of_Seduction_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192756,il compositore di The Voice on the Wire,select  ?o    {    <http://dbpedia.org/resource/The_Voice_on_the_Wire> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192757,il compositore di Douglas e gli avvoltoi del Sud,select  ?o    {    <http://dbpedia.org/resource/Headin'_South> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192758,il compositore di Il pirata e la principessa,select  ?o    {    <http://dbpedia.org/resource/The_Princess_and_the_Pirate> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192759,il compositore di The Midnight Flyer (film 1918),select  ?o    {    <http://dbpedia.org/resource/The_Midnight_Flyer> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192760,il compositore di Phoebe in Wonderland,select  ?o    {    <http://dbpedia.org/resource/Phoebe_in_Wonderland> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192761,il compositore di 8 zampe di guai,select  ?o    {    <http://dbpedia.org/resource/Hercule_et_Sherlock> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192762,il compositore di Danger Go Slow,"select  ?o    {    <http://dbpedia.org/resource/Danger,_Go_Slow> <http://dbpedia.org/ontology/musicComposer>  ?o    }",,no answer found,NPP
192763,il compositore di Klass (film),select  ?o    {    <http://dbpedia.org/resource/The_Class_(2007_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192764,il compositore di Buio oltre il sole,select  ?o    {    <http://dbpedia.org/resource/Dark_of_the_Sun> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192765,il compositore di Brigadoon,select  ?o    {    <http://dbpedia.org/resource/Brigadoon_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192766,il compositore di The Moment After - Sparizioni misteriose,select  ?o    {    <http://dbpedia.org/resource/The_Moment_After> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192767,il compositore di Il segreto delle piramidi,select  ?o    {    <http://dbpedia.org/resource/Charlie_Chan_in_Egypt> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192768,il compositore di Chaharshanbe Suri,select  ?o    {    <http://dbpedia.org/resource/Fireworks_Wednesday> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192769,il compositore di The Immortal Alamo,select  ?o    {    <http://dbpedia.org/resource/The_Immortal_Alamo> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192770,il compositore di The Lone Hand (film 1919),select  ?o    {    <http://dbpedia.org/resource/The_Lone_Hand_(1919_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192771,il compositore di London Can Take It!,select  ?o    {    <http://dbpedia.org/resource/London_Can_Take_It!> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192772,il compositore di Agguato nei Caraibi,select  ?o    {    <http://dbpedia.org/resource/The_Gun_Runners> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192773,il compositore di Princess Blade,select  ?o    {    <http://dbpedia.org/resource/The_Princess_Blade> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192774,il compositore di Giustizia senza legge,select  ?o    {    <http://dbpedia.org/resource/Black_Patch_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192775,il compositore di L'ora che uccide (film 1936),select  ?o    {    <http://dbpedia.org/resource/Charlie_Chan's_Secret> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192776,il compositore di Il padrino (serie di film),select  ?o    {    <http://dbpedia.org/resource/The_Godfather_(film_series)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192777,il compositore di Il terrore del circo,select  ?o    {    <http://dbpedia.org/resource/Charlie_Chan_at_the_Circus> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192778,il compositore di La freccia avvelenata,select  ?o    {    <http://dbpedia.org/resource/Charlie_Chan_at_the_Race_Track> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192779,il compositore di Alibi e sospetti,select  ?o    {    <http://dbpedia.org/resource/The_Great_Alibi> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192780,il compositore di Macbeth (film 1916),select  ?o    {    <http://dbpedia.org/resource/Macbeth_(1916_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192781,il compositore di Krantiveer,select  ?o    {    <http://dbpedia.org/resource/Krantiveer> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192782,il compositore di La tenda rossa,select  ?o    {    <http://dbpedia.org/resource/The_Red_Tent_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192783,il compositore di Fuori combattimento (film),select  ?o    {    <http://dbpedia.org/resource/Tipped_Off> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192784,il compositore di La Chamade,select  ?o    {    <http://dbpedia.org/resource/La_Chamade_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192785,il compositore di Terra bassa,select  ?o    {    <http://dbpedia.org/resource/Tiefland_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192786,il compositore di La strada della felicità,select  ?o    {    <http://dbpedia.org/resource/On_Our_Merry_Way> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192787,il compositore di Korolevstvo krivych zerkal,select  ?o    {    <http://dbpedia.org/resource/Kingdom_of_Crooked_Mirrors> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192788,il compositore di La lettera (film 1999),select  ?o    {    <http://dbpedia.org/resource/The_Letter_(1999_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192789,il compositore di Il pugnale scomparso,select  ?o    {    <http://dbpedia.org/resource/Charlie_Chan_at_the_Opera> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192790,il compositore di City of Life and Death,select  ?o    {    <http://dbpedia.org/resource/City_of_Life_and_Death> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192791,il compositore di La prossima voce,select  ?o    {    <http://dbpedia.org/resource/The_Next_Voice_You_Hear...> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192792,il compositore di Obyknovennoe čudo,select  ?o    {    <http://dbpedia.org/resource/An_Ordinary_Miracle_(1964_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192793,il compositore di Delitto senza peccato,select  ?o    {    <http://dbpedia.org/resource/The_Accused_(1949_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192794,il compositore di Prem Qaidi,select  ?o    {    <http://dbpedia.org/resource/Prem_Qaidi> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192795,il compositore di Addio alle armi (film 1957),select  ?o    {    <http://dbpedia.org/resource/A_Farewell_to_Arms_(1957_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192796,il compositore di La prima notte di quiete,select  ?o    {    <http://dbpedia.org/resource/La_prima_notte_di_quiete> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192797,il compositore di La sposa fantasma,select  ?o    {    <http://dbpedia.org/resource/Over_Her_Dead_Body> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192798,il compositore di Nove giorni in un anno,select  ?o    {    <http://dbpedia.org/resource/Nine_Days_in_One_Year> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192799,il compositore di Trouble the Water,select  ?o    {    <http://dbpedia.org/resource/Trouble_the_Water> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192800,il compositore di Quando l'amore è romanzo,select  ?o    {    <http://dbpedia.org/resource/The_Helen_Morgan_Story> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192801,il compositore di I cospiratori (film 1960),select  ?o    {    <http://dbpedia.org/resource/A_Terrible_Beauty_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192802,il compositore di Il colonnello Chabert (film 1994),select  ?o    {    <http://dbpedia.org/resource/Colonel_Chabert_(1994_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192803,il compositore di Il porto delle tentazioni,select  ?o    {    <http://dbpedia.org/resource/Temptation_Harbour> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192804,il compositore di Cime tempestose (film 1970),select  ?o    {    <http://dbpedia.org/resource/Wuthering_Heights_(1970_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192805,il compositore di Lucky Break (film 2001),select  ?o    {    <http://dbpedia.org/resource/Lucky_Break_(2001_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192806,il compositore di Un'adorabile infedele,select  ?o    {    <http://dbpedia.org/resource/Unfaithfully_Yours_(1984_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192807,il compositore di Otello (film 1906),select  ?o    {    <http://dbpedia.org/resource/Otello_(1906_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
192808,il compositore di Gli uomini della mia vita,select  ?o    {    <http://dbpedia.org/resource/Men_Don't_Leave> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
